number_of_snps	CellType
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
3	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
2	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
0	B_cell-ENCODE
1	B_cell-ENCODE
0	B_cell-ENCODE
1	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
1	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
1	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
1	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
0	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
